Subdomain,URL,Language,Exergy (%),Smoke (%),Clickbait (%),Tech (%),Commercial (%),C5-Real (%),Classification,Posts Scanned
spacioia,https://spacioia.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
tudosisia,https://tudosisia.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
futuria,https://futuria.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
enriquemartinezbermejo,https://enriquemartinezbermejo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
modoxtenx,https://modoxtenx.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
hellojaume,https://hellojaume.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
overxtime,https://overxtime.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
aplicacionesai,https://aplicacionesai.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
escribepro,https://escribepro.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
ekhocomunicacion,https://ekhocomunicacion.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
conectaycrece,https://conectaycrece.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
iaenespanol,https://iaenespanol.substack.com,es,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
botondeayuda,https://www.botondeayuda.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
samuelgil,https://www.sumapositiva.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
plumapifiada,https://plumapifiada.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
laiaqueimporta,https://laiaqueimporta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
habitonutricion,https://habitonutricion.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
medicosinconformistas,https://medicosinconformistas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
somosbiz,https://somosbiz.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
destacadas,https://destacadas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
marcplanella,https://marcplanella.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
vitalismo,https://vitalismo.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
todatabeyond,https://todatabeyond.substack.com,en,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
estrategiabyaleph,https://estrategiabyaleph.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
dispersosdemierda,https://dispersosdemierda.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
coachingdeproducto,https://coachingdeproducto.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
platforms,https://platforms.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
tusfinanzaspersonales,https://tusfinanzaspersonales.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
cristinafuster,https://cristinafuster.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
puraveta,https://puraveta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
florenciaboero,https://florenciaboero.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
alexandernuez,https://alexandernuez.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
metatrends,https://metatrends.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
vicentenogales,https://vicentenogales.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
benbunan,https://benbunan.substack.com,es,100.0,0.0,0.0,40.0,0.0,0.0,Técnico / Práctico,5
viviraudaz,https://viviraudaz.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
conproposito,https://conproposito.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
eliaguardiola,https://eliaguardiola.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
detrasdelamarca,https://detrasdelamarca.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
limoneros,https://limoneros.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
carminalozano,https://carminalozano.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
anabelmarino,https://anabelmarino.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lluisji,https://lluisji.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
sixtoa,https://sixtoa.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
pgala,https://pgala.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
samueldominguez,https://samueldominguez.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
edans,https://edans.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
betterbusinessbetterworld,https://betterbusinessbetterworld.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
causasyazares,https://causasyazares.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
crissancho,https://crissancho.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
sarapanacea,https://sarapanacea.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
monicaencinas,https://monicaencinas.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,1
toniherrera,https://toniherrera.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
emprendeenremoto,https://emprendeenremoto.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
thepowerofstorytelling,https://thepowerofstorytelling.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lospasosdebikila,https://lospasosdebikila.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
lazonamixta,https://lazonamixta.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
drignacioalcala,https://drignacioalcala.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
estrategiaconsciente,https://estrategiaconsciente.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
multiversialnewsletter,https://multiversialnewsletter.substack.com,es,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
pipspost,https://pipspost.substack.com,en,100.0,0.0,0.0,80.0,0.0,0.0,Técnico / Práctico,5
aiwithjason,https://aiwithjason.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,5
daydreamerventures,https://daydreamerventures.substack.com,en,100.0,0.0,0.0,0.0,0.0,0.0,Hype-driven / Divulgativo,2
getpushtoprod,https://getpushtoprod.substack.com,en,100.0,0.0,0.0,20.0,0.0,0.0,Hype-driven / Divulgativo,5
